,precision,recall,f1-score,support
Normal,0.6521889241817429,0.9727085478887745,0.7808366402116402,9710.0
Attack,0.9671256667907208,0.6074962986051585,0.7462429405570977,12833.0
accuracy,0.7648050392583063,0.7648050392583063,0.7648050392583063,0.7648050392583063
macro avg,0.8096572954862318,0.7901024232469664,0.763539790384369,22543.0
weighted avg,0.8314722146888188,0.7648050392583063,0.7611435670773306,22543.0
