model,accuracy,precision,recall,f1_score
Logistic Regression,0.7535376835381271,0.9173070306227779,0.623236967193953,0.7422048997772829
Random Forest,0.7648050392583063,0.9671256667907208,0.6074962986051585,0.7462429405570977
SVM,0.7456860222685534,0.9151075771749299,0.6098340216629003,0.7319148936170212
XGBoost,0.7918200771858227,0.9683544303797469,0.6557313176965636,0.7819541885424894
